processed_text,label
我 的 毕业证 弄 丢 了 怎么办 ？,0
同学 知道 我 的 毕业证 弄 丢 了 怎么办 ？ 吗,0
我 的 学生证 弄 丢 了 怎么办 ？,0
请问 请问 如何 办理 云南大学 领取 本科学历 学位证书 流程 ？ 需要 哪些 材料 ？,0
同学 知道 同学 知道 如何 办理 云南大学 领取 本科学历 学位证书 流程 ？ 需要 哪些 材料 ？ 吗 吗,0
请问 麻烦 告诉 我 如何 办理 云南大学 领取 本科学历 学位证书 流程 ？ 需要 哪些 材料 ？,0
请问 如何 办理 云南大学 领取 本科学历 学位证书 流程 ？ 需要 哪些 材料 ？ ， 谢谢 ！,0
请问 咋个 办理 云南大学 领取 本科学历 学位证书 流程 ？ 需要 哪些 材料 ？ ， 谢谢 ！,0
同学 知道 如何 操作 云南大学 领取 本科学历 学位证书 流程 ？ 需要 哪些 材料 ？ 吗 ， 谢谢 ！,0
麻烦 告诉 我 同学 知道 如何 操作 云南大学 领取 本科学历 学位证书 手续 ？ 需要 哪些 材料 ？ 吗,0
同学 知道 请问 云南大学 领取 本科学历 学位证书 流程 的 具体步骤 是 什么 ？ 吗,0
同学 知道 云南大学 领取 本科学历 学位证书 流程 的 具体步骤 是 什么 ？ 吗,0
请问 麻烦 告诉 我 云南大学 领取 本科学历 学位证书 流程 的 具体步骤 是 什么 ？,0
麻烦 告诉 我 云南大学 领取 本科学历 学位证书 流程 的 具体步骤 是 什么 ？ ， 谢谢 ！,0
请问 麻烦 告诉 我 云南大学 领取 本科学历 学位证书 流程 的 具体步骤 是 什么 ？,0
麻烦 告诉 我 请问 云南大学 领取 本科学历 学位证书 步骤 的 具体步骤 是 什么 ？,0
请问 请问 办理 云南大学 领取 本科学历 学位证书 流程 要 去 哪个 办公室 ？,0
同学 知道 同学 知道 办理 云南大学 领取 本科学历 学位证书 流程 要 去 哪个 办公室 ？ 吗 吗,0
请问 麻烦 告诉 我 办理 云南大学 领取 本科学历 学位证书 流程 要 去 哪个 办公室 ？,0
办理 云南大学 领取 本科学历 学位证书 流程 要 去 哪个 办公室 ？ ， 谢谢 ！,0
请问 办理 云南大学 领取 本科学历 学位证书 流程 要 去 哪个 办公室 ？ ， 谢谢 ！,0
麻烦 告诉 我 麻烦 告诉 我 办理 云南大学 领取 本科学历 学位证书 步骤 要 去 哪个 办公室 ？,0
同学 知道 请问 申请 云南大学 领取 本科学历 学位证书 流程 的 截止 日期 是 多久 ？ 吗,0
同学 知道 同学 知道 申请 云南大学 领取 本科学历 学位证书 流程 的 截止 日期 是 多久 ？ 吗 吗,0
麻烦 告诉 我 申请 云南大学 领取 本科学历 学位证书 流程 的 截止 日期 是 多久 ？ ， 谢谢 ！,0
同学 知道 申请 云南大学 领取 本科学历 学位证书 流程 的 截止 日期 是 多久 ？ ， 谢谢 ！ 吗,0
麻烦 告诉 我 申请 云南大学 领取 本科学历 学位证书 流程 的 截止 日期 是 多久 ？,0
请问 麻烦 告诉 我 申请 云南大学 领取 本科学历 学位证书 手续 的 截止 日期 是 多久 ？,0
麻烦 告诉 我 请问 如果 云南大学 领取 本科学历 学位证书 流程 被 驳回 怎么办 ？,0
同学 知道 如果 云南大学 领取 本科学历 学位证书 流程 被 驳回 怎么办 ？ 吗 ， 谢谢 ！,0
麻烦 告诉 我 如果 云南大学 领取 本科学历 学位证书 流程 被 驳回 怎么办 ？ ， 谢谢 ！,0
同学 知道 如果 云南大学 领取 本科学历 学位证书 流程 被 驳回 怎么办 ？ ， 谢谢 ！ 吗,0
麻烦 告诉 我 同学 知道 如果 云南大学 领取 本科学历 学位证书 流程 被 驳回 怎么办 ？ 吗,0
